AgentID,C4,C5,experiment,in_degree,max_od
23,0.0,0.0,3,2,7
24,0.0,0.0,3,18,7
25,0.0,0.0,3,0,7
26,0.0,0.0,3,1,7
27,0.0,0.0,3,8,7
28,0.0,0.0,3,3,7
29,0.0,0.0,3,0,7
30,0.0,0.0,3,10,7
31,0.0,0.0,3,7,7
32,0.0,0.0,3,0,7
33,0.0,0.0,3,17,7
34,0.0,0.0,3,5,7
35,0.0,0.0,3,26,7
36,0.0,0.0,3,38,7
37,0.0,0.0,3,17,7
38,0.0,0.0,3,1,7
39,0.0,0.0,3,3,7
40,0.0,0.0,3,0,7
41,0.0,0.0,3,0,7
42,0.0,0.0,3,1,7
43,0.0,0.0,3,2,7
44,0.0,0.0,3,0,7
45,0.0,0.0,3,3,7
46,0.0,0.0,3,0,7
47,0.0,0.0,3,21,7
48,0.0,0.0,3,0,7
49,0.0,0.0,3,7,7
0,0.0,0.0,4,1,8
1,0.0,0.0,4,1,8
2,0.0,0.0,4,12,8
3,0.0,0.0,4,4,8
4,0.0,0.0,4,2,8
5,0.0,0.0,4,25,8
6,0.0,0.0,4,71,8
7,0.0,0.0,4,0,8
8,0.0,0.0,4,0,8
9,0.0,0.0,4,28,8
10,0.0,0.0,4,3,8
11,0.0,0.0,4,3,8
12,0.0,0.0,4,4,8
13,0.0,0.0,4,4,8
14,0.0,0.0,4,10,8
15,0.0,0.0,4,9,8
16,0.0,0.0,4,2,8
17,0.0,0.0,4,12,8
18,0.0,0.0,4,0,8
19,0.0,0.0,4,7,8
20,0.0,0.0,4,22,8
21,0.0,0.0,4,12,8
22,0.0,0.0,4,5,8
23,0.0,0.0,4,25,8
24,0.0,0.0,4,39,8
25,0.0,0.0,4,0,8
26,0.0,0.0,4,25,8
27,0.0,0.0,4,0,8
28,0.0,0.0,4,5,8
29,0.0,0.0,4,0,8
30,0.0,0.0,4,3,8
31,0.0,0.0,4,3,8
32,0.0,0.0,4,5,8
33,0.0,0.0,4,0,8
34,0.0,0.0,4,5,8
35,0.0,0.0,4,6,8
36,0.0,0.0,4,2,8
37,0.0,0.0,4,2,8
38,0.0,0.0,4,2,8
39,0.0,0.0,4,1,8
40,0.0,0.0,4,10,8
41,0.0,0.0,4,4,8
42,0.0,0.0,4,2,8
43,0.0,0.0,4,0,8
44,0.0,0.0,4,2,8
45,0.0,0.0,4,0,8
46,0.0,0.0,4,2,8
47,0.0,0.0,4,1,8
48,0.0,0.0,4,0,8
49,0.0,0.0,4,19,8
0,0.0,0.0,5,10,9
1,0.0,0.0,5,7,9
2,0.0,0.0,5,0,9
3,0.0,0.0,5,0,9
4,0.0,0.0,5,48,9
5,0.0,0.0,5,0,9
6,0.0,0.0,5,27,9
7,0.0,0.0,5,8,9
8,0.0,0.0,5,0,9
9,0.0,0.0,5,2,9
10,0.0,0.0,5,6,9
11,0.0,0.0,5,12,9
12,0.0,0.0,5,0,9
13,0.0,0.0,5,4,9
14,0.0,0.0,5,13,9
15,0.0,0.0,5,5,9
16,0.0,0.0,5,1,9
17,0.0,0.0,5,2,9
18,0.0,0.0,5,8,9
19,0.0,0.0,5,13,9
20,0.0,0.0,5,1,9
21,0.0,0.0,5,8,9
22,0.0,0.0,5,3,9
23,0.0,0.0,5,3,9
24,0.0,0.0,5,0,9
25,0.0,0.0,5,6,9
26,0.0,0.0,5,7,9
27,0.0,0.0,5,8,9
28,0.0,0.0,5,0,9
29,0.0,0.0,5,0,9
30,0.0,0.0,5,11,9
31,0.0,0.0,5,3,9
32,0.0,0.0,5,4,9
33,0.0,0.0,5,12,9
34,0.0,0.0,5,6,9
35,0.0,0.0,5,6,9
36,0.0,0.0,5,0,9
37,0.0,0.0,5,4,9
38,0.0,0.0,5,6,9
39,0.0,0.0,5,1,9
40,0.0,0.0,5,20,9
41,0.0,0.0,5,5,9
42,0.0,0.0,5,9,9
43,0.0,0.0,5,7,9
44,0.0,0.0,5,5,9
45,0.0,0.0,5,2,9
46,0.0,0.0,5,0,9
47,0.0,0.0,5,100,9
48,0.0,0.0,5,0,9
